 "i" , "p" , "o" ,
 "http://dockerpedia.inf.utfsm.cl/resource/SoftwareImage/dockerpedia-pegasus_workflow_images_pegasus-4.8.5" , "http://dockerpedia.inf.utfsm.cl/vocab#containsSoftware" , "http://dockerpedia.inf.utfsm.cl/resource/PackageVersion/ca-certificates-java-20160321ubuntu1" ,
 "http://dockerpedia.inf.utfsm.cl/resource/SoftwareImage/dockerpedia-pegasus_workflow_images_pegasus-4.8.5" , "http://dockerpedia.inf.utfsm.cl/vocab#containsSoftware" , "http://dockerpedia.inf.utfsm.cl/resource/PackageVersion/glibc-2.23-0ubuntu10" ,
 "http://dockerpedia.inf.utfsm.cl/resource/SoftwareImage/dockerpedia-pegasus_workflow_images_pegasus-4.8.5" , "http://dockerpedia.inf.utfsm.cl/vocab#containsSoftware" , "http://dockerpedia.inf.utfsm.cl/resource/PackageVersion/globus-common-16.0-2" ,
 "http://dockerpedia.inf.utfsm.cl/resource/SoftwareImage/dockerpedia-pegasus_workflow_images_pegasus-4.8.5" , "http://dockerpedia.inf.utfsm.cl/vocab#containsSoftware" , "http://dockerpedia.inf.utfsm.cl/resource/PackageVersion/globus-gsi-openssl-error-3.5-5" ,
 "http://dockerpedia.inf.utfsm.cl/resource/SoftwareImage/dockerpedia-pegasus_workflow_images_pegasus-4.8.5" , "http://dockerpedia.inf.utfsm.cl/vocab#containsSoftware" , "http://dockerpedia.inf.utfsm.cl/resource/PackageVersion/libusb-2%3A0.1.12-28" ,
 "http://dockerpedia.inf.utfsm.cl/resource/SoftwareImage/dockerpedia-pegasus_workflow_images_pegasus-4.8.5" , "http://dockerpedia.inf.utfsm.cl/vocab#containsSoftware" , "http://dockerpedia.inf.utfsm.cl/resource/PackageVersion/enum34-1.1.2-1" ,
 "http://dockerpedia.inf.utfsm.cl/resource/SoftwareImage/dockerpedia-pegasus_workflow_images_pegasus-4.8.5" , "http://dockerpedia.inf.utfsm.cl/vocab#containsSoftware" , "http://dockerpedia.inf.utfsm.cl/resource/PackageVersion/cups-2.1.3-4ubuntu0.5" ,
 "http://dockerpedia.inf.utfsm.cl/resource/SoftwareImage/dockerpedia-pegasus_workflow_images_pegasus-4.8.5" , "http://dockerpedia.inf.utfsm.cl/vocab#containsSoftware" , "http://dockerpedia.inf.utfsm.cl/resource/PackageVersion/nspr-2%3A4.13.1-0ubuntu0.16.04.1" ,
 "http://dockerpedia.inf.utfsm.cl/resource/SoftwareImage/dockerpedia-pegasus_workflow_images_pegasus-4.8.5" , "http://dockerpedia.inf.utfsm.cl/vocab#containsSoftware" , "http://dockerpedia.inf.utfsm.cl/resource/PackageVersion/python-cffi-1.5.2-1ubuntu1" ,
 "http://dockerpedia.inf.utfsm.cl/resource/SoftwareImage/dockerpedia-pegasus_workflow_images_pegasus-4.8.5" , "http://dockerpedia.inf.utfsm.cl/vocab#containsSoftware" , "http://dockerpedia.inf.utfsm.cl/resource/PackageVersion/base-files-9.4ubuntu4.7" ,
 "http://dockerpedia.inf.utfsm.cl/resource/SoftwareImage/dockerpedia-pegasus_workflow_images_pegasus-4.8.5" , "http://dockerpedia.inf.utfsm.cl/vocab#containsSoftware" , "http://dockerpedia.inf.utfsm.cl/resource/PackageVersion/libseccomp-2.3.1-2.1ubuntu2~16.04.1" ,
 "http://dockerpedia.inf.utfsm.cl/resource/SoftwareImage/dockerpedia-pegasus_workflow_images_pegasus-4.8.5" , "http://dockerpedia.inf.utfsm.cl/vocab#containsSoftware" , "http://dockerpedia.inf.utfsm.cl/resource/PackageVersion/libcap-ng-0.7.7-1" ,
 "http://dockerpedia.inf.utfsm.cl/resource/SoftwareImage/dockerpedia-pegasus_workflow_images_pegasus-4.8.5" , "http://dockerpedia.inf.utfsm.cl/vocab#containsSoftware" , "http://dockerpedia.inf.utfsm.cl/resource/PackageVersion/globus-xio-5.11-2" ,
 "http://dockerpedia.inf.utfsm.cl/resource/SoftwareImage/dockerpedia-pegasus_workflow_images_pegasus-4.8.5" , "http://dockerpedia.inf.utfsm.cl/vocab#containsSoftware" , "http://dockerpedia.inf.utfsm.cl/resource/PackageVersion/e2fsprogs-1.42.13-1ubuntu1" ,
 "http://dockerpedia.inf.utfsm.cl/resource/SoftwareImage/dockerpedia-pegasus_workflow_images_pegasus-4.8.5" , "http://dockerpedia.inf.utfsm.cl/vocab#containsSoftware" , "http://dockerpedia.inf.utfsm.cl/resource/PackageVersion/at-spi2-atk-2.18.1-2ubuntu1" ,
 "http://dockerpedia.inf.utfsm.cl/resource/SoftwareImage/dockerpedia-pegasus_workflow_images_pegasus-4.8.5" , "http://dockerpedia.inf.utfsm.cl/vocab#containsSoftware" , "http://dockerpedia.inf.utfsm.cl/resource/PackageVersion/libx11-2%3A1.6.3-1ubuntu2.1" ,
